high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
,3%,2.2,79,N/A,19-24,N/A,"Aurora, IL",N/A,118,51.4%,133,-2,N/A,"
                RNP
            ","$20,720",76%,70%,/best-colleges/aurora-university-1634,50%,52%,,129,N/A,Aurora University,124
,N/A,2.2,102,N/A,20-24,N/A,"Kansas City, MO",N/A,108,59.8%,111,-9,N/A,"
                RNP
            ","$24,950",61.1%,66%,/best-colleges/avila-university-2449,45%,54%,,128,N/A,Avila University,124
,N/A,2.5,135,N/A,19-23,N/A,"Spearfish, SD",N/A,132,80.8%,111,-11,N/A,"
                RNP
            ","in-state: $7,617, out-of-state: $9,617",89.2%,61%,/best-colleges/black-hills-state-3459,32%,43%,,138,N/A,Black Hills State University,124
,2.1%,2,141,2%,780-940,12:1,"Whiting, IN",14%,145,49.5%,142,-2,5%,"
                RNP
            ","$16,440",40%,57%,/best-colleges/calumet-college-st-joseph-1834,34%,36%,1140,78,72.3%,Calumet College of St. Joseph,81
,N/A,1.8,146,0.1%,17-20,12:1,"Chicago, IL",N/A,127,88.1%,111,-8,N/A,"
                RNP
            ","in-state: $11,396, out-of-state: $20,096",28.7%,55%,/best-colleges/chicago-state-university-1694,21%,29%,5701,74,59.8%,Chicago State University,3
,N/A,2.6,121,N/A,N/A,N/A,"Chicago, IL",N/A,139,43.1%,111,-13,N/A,"
                RNP
            ","$22,792",90.5%,63%,/best-colleges/columbia-college-chicago-1665,41%,54%,,138,N/A,Columbia College Chicago,124
,7.8%,2,96,3%,21-26,24:1,"Grand Rapids, MI",49%,64,74.1%,69,-11,18%,"
                RNP
            ","$25,682",68.1%,76%,/best-colleges/cornerstone-university-2266,43%,54%,2809,141,51.7%,Cornerstone University,86
,N/A,1.8,128,0.1%,N/A,N/A,"Grand Rapids, MI",N/A,139,42.6%,111,12,N/A,"
                RNP
            ","$14,066",91.7%,79%,/best-colleges/davenport-university-2249,42%,30%,9591,105,72.1%,Davenport University,76
,N/A,1.7,135,N/A,N/A,19:1,"Downers Grove, IL",N/A,138,27.3%,111,N/A,N/A,"
                RNP
            ","$17,132",N/A,N/A,/best-colleges/devry-chicago-10727,31%,N/A,64963,146,N/A,DeVry University,7
,N/A,2.3,113,3%,740-1230,18:1,"Hays, KS",31%,113,79.6%,111,-5,10%,"
                RNP
            ","in-state: $4,469, out-of-state: $13,159",89.2%,68%,/best-colleges/fort-hays-1915,40%,45%,13441,97,42.5%,Fort Hays State University,142
,N/A,2.1,138,N/A,18-24,N/A,"Wichita, KS",N/A,123,63.2%,111,-17,N/A,"
                RNP
            ","$23,430",58.6%,60%,/best-colleges/friends-university-1918,29%,46%,,122,N/A,Friends University,124
,6.5%,2.1,143,8%,780-1020,17:1,"Gary, IN",32%,136,71.8%,80,-9,10%,"
                RNP
            ","in-state: $6,854, out-of-state: $18,081",76.3%,67%,/best-colleges/indiana-northwest-1815,24%,33%,6387,116,31.5%,Indiana University Northwest,139
,4.1%,2.6,143,4%,890-1090,17:1,"Fort Wayne, IN",38%,105,74.9%,105,-16,13%,"
                RNP
            ","in-state: $8,040, out-of-state: $19,183",83.1%,62%,/best-colleges/ipfw-1812,25%,41%,13459,18,48.3%,Indiana University-​Purdue University—​Fort Wayne,95
,7.9%,2.3,142,2%,860-1060,13:1,"South Bend, IN",29%,127,80.1%,69,-11,9%,"
                RNP
            ","in-state: $6,905, out-of-state: $18,081",70%,64%,/best-colleges/indiana-south-bend-1816,26%,37%,8073,78,46.6%,Indiana University—​South Bend,139
,8.9%,2.2,140,1%,850-1050,15:1,"New Albany, IN",34%,125,68.1%,51,-9,10%,"
                RNP
            ","in-state: $6,827, out-of-state: $18,081",79.5%,62%,/best-colleges/ius-1817,30%,39%,6733,58,37.8%,Indiana University Southeast,138
,7.9%,1.8,96,0%,19-23,14:1,"Painesville, OH",28%,120,68.9%,69,0,6%,"
                RNP
            ","$28,355",55.6%,67%,/best-colleges/lake-erie-college-3066,46%,46%,1089,88,66.4%,Lake Erie College,43
,N/A,2,101,N/A,19-24,N/A,"Plymouth, WI",N/A,117,34.8%,111,0,N/A,"
                RNP
            ","$22,950",66.2%,71%,/best-colleges/lakeland-college-3854,44%,44%,,132,N/A,Lakeland College,124
,N/A,2,138,N/A,14-18,11:1,"Detroit, MI",N/A,146,49.9%,111,-11,N/A,"
                RNP
            ","$19,850",93.8%,67%,/best-colleges/marygrove-2284,29%,40%,1960,145,N/A,Marygrove College,124
,2.6%,2.4,134,N/A,N/A,N/A,"St. Paul, MN",N/A,141,44%,138,-12,N/A,"
                RNP
            ","in-state: $6,642, out-of-state: $13,227",100%,69%,/best-colleges/metropolitan-state-university-10374,30%,42%,,142,N/A,Metropolitan State University,124
,3.6%,2.1,79,N/A,19-21,N/A,"Olathe, KS",N/A,134,41.3%,132,-6,N/A,"
                RNP
            ","$22,290",72.2%,74%,/best-colleges/midamerica-nazarene-university-7032,48%,54%,,136,N/A,MidAmerica Nazarene University,124
,N/A,2,132,N/A,830-1120,N/A,"St. Louis, MO",N/A,102,N/A,111,-12,N/A,"
                RNP
            ","$21,670",57.8%,65%,/best-colleges/missouri-baptist-university-7540,34%,46%,,144,N/A,Missouri Baptist University,145
,5.9%,2.1,121,1%,20-27,15:1,"Wichita, KS",51%,15,57.5%,85,-1,19%,"
                RNP
            ","$24,800",44.2%,71%,/best-colleges/newman-university-1939,52%,53%,3736,94,65.5%,Newman University,139
,1.6%,2.3,145,2%,16-21,16:1,"Chicago, IL",16%,142,83.9%,144,-16,3%,"
                RNP
            ","in-state: $10,764, out-of-state: $19,884",60.1%,64%,/best-colleges/northeastern-illinois-university-1693,20%,36%,10821,97,37.6%,Northeastern Illinois University,28
,0.9%,2.1,121,0%,17-23,N/A,"Parkville, MO",37%,123,N/A,146,-2,14%,"
                RNP
            ","$10,600",69.3%,67%,/best-colleges/park-university-2498,39%,41%,,15,80%,Park University,124
,4.7%,2.5,137,7%,870-1080,19:1,"Hammond, IN",36%,134,80.5%,104,-6,12%,"
                RNP
            ","in-state: $7,241, out-of-state: $16,356",75.6%,69%,/best-colleges/purdue-calumet-1827,30%,36%,9422,92,26.3%,Purdue University—​Calumet,92
,N/A,2.4,113,3%,19-24,20:1,"University Center, MI",39%,66,68.5%,111,-4,18%,"
                RNP
            ","in-state: $8,691, out-of-state: $20,409",78.8%,69%,/best-colleges/saginaw-valley-state-2314,42%,46%,10245,131,33.4%,Saginaw Valley State University,118
,4.8%,2.2,113,0.2%,19-23,12:1,"Adrian, MI",33%,95,58.7%,94,0,8%,"
                RNP
            ","$22,740",67.7%,64%,/best-colleges/siena-heights-university-2316,43%,43%,2684,60,79.4%,Siena Heights University,78
,N/A,2.2,99,N/A,20-26,N/A,"Bolivar, MO",N/A,111,68.8%,111,-2,N/A,"
                RNP
            ","$20,040",90.2%,67%,/best-colleges/southwest-baptist-2502,48%,50%,,129,N/A,Southwest Baptist University,124
,11%,2.3,108,3%,19-24,16:1,"Marshall, MN",27%,120,81%,41,0,8%,"
                RNP
            ","$8,280",65.5%,68%,/best-colleges/southwest-minnesota-state-2375,43%,43%,6665,60,43.1%,Southwest Minnesota State University,142
,12%,2.3,108,0%,18-23,18:1,"Tiffin, OH",N/A,127,47.4%,31,4,N/A,"
                RNP
            ","$21,510",59.5%,66%,/best-colleges/tiffin-university-3121,43%,39%,4954,97,61%,Tiffin University,146
,9.1%,2.5,113,1%,17-22,N/A,"Dubuque, IA",17%,143,66.6%,51,-5,4%,"
                RNP
            ","$25,520",77.4%,69%,/best-colleges/university-of-dubuque-1891,40%,45%,2024,134,64.5%,University of Dubuque,30
,N/A,2.4,89,N/A,20-25,N/A,"Bismarck, ND",N/A,113,51.2%,111,-3,N/A,"
                RNP
            ","$14,730",83.1%,71%,/best-colleges/university-of-mary-2992,48%,51%,,142,N/A,University of Mary,124
,4.1%,2.4,130,4%,890-1110,16:1,"Evansville, IN",36%,90,73.4%,105,-5,13%,"
                RNP
            ","in-state: $6,977, out-of-state: $16,317",69.3%,68%,/best-colleges/university-of-southern-indiana-1808,37%,42%,9902,71,43.8%,University of Southern Indiana,118
,N/A,2.1,125,0%,19-24,10:1,"Leavenworth, KS",3%,137,52.4%,111,0,2%,"
                RNP
            ","$23,170",47.1%,60%,/best-colleges/university-of-st-mary-1943,53%,53%,1325,97,71.9%,University of St. Mary,81
,4.1%,2.1,130,7%,17-23,17:1,"Youngstown, OH",17%,127,64.6%,105,-4,11%,"
                RNP
            ","in-state: $8,317, out-of-state: $14,317",86.5%,68%,/best-colleges/youngstown-state-3145,33%,37%,13374,49,39%,Youngstown State University,95
,N/A,1.3,N/A,N/A,N/A,N/A,"Hoffman Estates, IL",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,/best-colleges/american-intercontinental-university-21136B,N/A,N/A,,N/A,N/A,American InterContinental University,N/A
,N/A,2,N/A,N/A,N/A,N/A,"Yellow Springs, OH",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,/best-colleges/antioch-university-3010,N/A,N/A,,N/A,N/A,Antioch University,N/A
,N/A,1.7,N/A,N/A,N/A,N/A,"Clinton, IA",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","$10,312",N/A,N/A,/best-colleges/ashford-university-1881,26%,N/A,,N/A,N/A,Ashford University,N/A
,N/A,2,N/A,N/A,N/A,N/A,"Bellevue, NE",N/A,N/A,N/A,N/A,-3,N/A,"
                Unranked
            ","$7,950",N/A,N/A,/best-colleges/bellevue-university-9743,31%,34%,,N/A,N/A,Bellevue University,N/A
,N/A,2.2,N/A,N/A,N/A,N/A,"Columbia, MO",N/A,N/A,N/A,N/A,-22,N/A,"
                Unranked
            ","$19,386",N/A,N/A,/best-colleges/columbia-college-2456,40%,62%,17894,N/A,N/A,Columbia College,N/A
,N/A,2.1,N/A,N/A,N/A,N/A,"University Park, IL",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,/best-colleges/governors-state-9145,N/A,N/A,,N/A,N/A,Governors State University,N/A
,N/A,1.4,N/A,N/A,N/A,N/A,"Davenport, IA",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,/best-colleges/kaplan-university-4586,7%,N/A,,N/A,N/A,Kaplan University,N/A
,N/A,1.9,N/A,N/A,N/A,N/A,"Jefferson City, MO",N/A,N/A,N/A,N/A,-15,N/A,"
                Unranked
            ","in-state: $6,838, out-of-state: $13,228",N/A,N/A,/best-colleges/lincoln-university-missouri-2479,22%,37%,,N/A,N/A,Lincoln University,N/A
,11.9%*,1.9,100,0.1%,20-25,15:1,"St. Charles, MO",33%,60,62.2%,N/A,5,12%,"
                Unranked*
","$15,580",66.3%,72%,/best-colleges/lindenwood-2480,45%,40%,12213,58,61.6%,Lindenwood University,142
,9.2%,2,N/A,0%,N/A,12:1,"Sylvania, OH",24%,N/A,64%,N/A,-3,9%,"
                Unranked
            ","$17,656",69.3%,60%,/best-colleges/lourdes-college-3069,29%,32%,2187,N/A,67.6%,Lourdes University,N/A
,N/A,1.5,N/A,N/A,N/A,N/A,"Fairfield, IA",N/A,N/A,N/A,N/A,-6,N/A,"
                Unranked
            ","$26,430",N/A,N/A,/best-colleges/maharishi-university-11113,54%,60%,,N/A,N/A,Maharishi University of Management,N/A
,N/A,1.6,N/A,N/A,N/A,N/A,"Rapid City, SD",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,/best-colleges/national-american-university-4057,23%,N/A,,N/A,N/A,National American University,N/A
,N/A,2.1,N/A,N/A,N/A,N/A,"Peru, NE",N/A,N/A,N/A,N/A,-9,N/A,"
                Unranked
            ","$6,188",N/A,N/A,/best-colleges/peru-state-college-2559,33%,42%,,N/A,N/A,Peru State College,N/A
,2.7%,1.6,N/A,1%,N/A,18:1,"Rio Grande, OH",28%,N/A,74.4%,N/A,-11,9%,"
                Unranked
            ","$21,930",74.7%,53%,/best-colleges/university-of-rio-grande-3116,26%,37%,2313,N/A,66%,University of Rio Grande,N/A
