high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
,3.9%,2.1,80,0%,870-1070,11:1,"Incline Village, NV",20%,108,48.9%,60,-11,N/A,"
                RNP
            ","$29,149",86.8%,68%,/best-colleges/sierra-nevada-college-9192,45%,56%,972,42,81%,Sierra Nevada College,35
,11%,2.4,113,4%,18-22,17:1,"Durant, OK",38%,69,76%,17,-11,17%,"
                RNP
            ","in-state: $5,315, out-of-state: $13,440",79.9%,56%,/best-colleges/southeastern-oklahoma-state-3179,31%,42%,3840,34,56%,Southeastern Oklahoma State University,90
,1.1%,2.4,89,N/A,19-24,18:1,"Waxahachie, TX",N/A,45,73%,97,3,N/A,"
                RNP
            ","$18,580",29.9%,66%,/best-colleges/southwestern-assemblies-of-god-3616,38%,35%,2012,119,N/A,Southwestern Assemblies of God University,72
,1.1%,2.4,97,7%,18-24,18:1,"Weatherford, OK",43%,53,96.7%,97,-12,22%,"
                RNP
            ","in-state: $5,460, out-of-state: $11,820",90.3%,65%,/best-colleges/southwestern-oklahoma-state-3181,30%,42%,4942,39,45.2%,Southwestern Oklahoma State University,90
,N/A,2.2,115,4%,14-19,16:1,"Alpine, TX",16%,119,85.4%,100,1,3%,"
                RNP
            ","in-state: $4,764, out-of-state: $12,276",N/A,N/A,/best-colleges/sul-ross-3625,30%,29%,2846,46,60%,Sul Ross State University,40
,1.6%,2.4,87,9%,870-1060,19:1,"Stephenville, TX",24%,102,77.5%,82,1,8%,"
                RNP
            ","in-state: $7,237, out-of-state: $18,097",76.7%,67%,/best-colleges/tarleton-3631,43%,42%,10937,108,28.4%,Tarleton State University,89
,N/A,2.5,120,N/A,19-24,N/A,"Texarkana, TX",39%,65,N/A,100,N/A,16%,"
                RNP
            ","in-state: $5,578, out-of-state: $14,002",35.9%,44%,/best-colleges/texas-am-texarkana-31703,N/A,N/A,1842,114,N/A,Texas A&M University—​Texarkana,52
,2.9%,2.7,100,5%,N/A,16:1,"Houston, TX",N/A,111,74.8%,71,N/A,N/A,"
                RNP
            ","in-state: $7,131, out-of-state: $20,091",N/A,N/A,/best-colleges/uhcl-11711,N/A,N/A,8162,73,29.5%,University of Houston—​Clear Lake,73
,1.3%,2.5,100,2%,810-1005,19:1,"Victoria, TX",23%,115,80%,94,N/A,7%,"
                RNP
            ","in-state: $6,248, out-of-state: $16,868",51.9%,N/A,/best-colleges/houston-victoria-13231,N/A,N/A,4491,88,30.1%,University of Houston—​Victoria,98
,0.4%,2.4,118,10%,810-1000,19:1,"Brownsville, TX",43%,105,86.8%,118,4,17%,"
                RNP
            ","in-state: $5,372, out-of-state: $14,834",87.2%,58%,/best-colleges/university-of-texas-brownsville-30646,26%,22%,8612,42,38.4%,University of Texas—​Brownsville,55
,5.8%,2.5,105,9%,910-1122,20:1,"Odessa, TX",60%,45,80.6%,42,-16,26%,"
                RNP
            ","in-state: $6,776, out-of-state: $17,308",82.1%,63%,/best-colleges/utpb-9930,27%,43%,5131,46,41.2%,University of Texas of the Permian Basin,59
,4.8%,2.6,80,24%,18-22,22:1,"Edinburg, TX",53%,60,93.7%,53,6,22%,"
                RNP
            ","in-state: $6,134, out-of-state: $17,132",69.4%,75%,/best-colleges/utpa-3599,39%,33%,20053,116,16%,University of Texas—​Pan American,110
,0.8%,2.1,100,0.1%,17-23,10:1,"Plainview, TX",28%,100,54.6%,100,3,11%,"
                RNP
            ","$15,930",98.6%,52%,/best-colleges/wayland-baptist-3663,33%,30%,6222,15,86.1%,Wayland Baptist University,38
,N/A,2.1,N/A,N/A,N/A,N/A,"Garland, TX",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,/best-colleges/amberton-university-22594,N/A,N/A,,N/A,N/A,Amberton University,N/A
,N/A,2.4,N/A,0%,N/A,14:1,"Irvine, CA",N/A,N/A,22.2%,N/A,N/A,N/A,"
                Unranked
            ","$12,200",74.3%,N/A,/best-colleges/brandman-university-1164B,N/A,N/A,7746,N/A,86.2%,Brandman University,N/A
,N/A,2.3,N/A,N/A,N/A,N/A,"Seattle, WA",N/A,N/A,11.7%,N/A,-45,N/A,"
                Unranked
            ","$14,880",100%,N/A,/best-colleges/city-university-13022,17%,62%,2368,N/A,N/A,City University of Seattle,N/A
,4.1%,2.3,N/A,0%,N/A,N/A,"San Francisco, CA",N/A,N/A,60.9%,N/A,N/A,N/A,"
                Unranked
            ","$14,400",N/A,N/A,/best-colleges/golden-gate-university-1205,N/A,N/A,3226,N/A,62.5%,Golden Gate University,N/A
,0.4%,2.3,N/A,N/A,N/A,N/A,"Toppenish, WA",N/A,N/A,N/A,N/A,-14,N/A,"
                Unranked
            ","$17,744",N/A,N/A,/best-colleges/heritage-university-3777,15%,29%,,N/A,N/A,Heritage University,N/A
,N/A,2.4,N/A,N/A,N/A,N/A,"Pleasant Hill, CA",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,/best-colleges/jfk-university-4484,N/A,N/A,,N/A,N/A,John F. Kennedy University,N/A
,N/A,1.7,N/A,N/A,N/A,N/A,"Centennial, CO",N/A,N/A,33.8%,N/A,N/A,N/A,"
                Unranked
            ","$12,720",N/A,N/A,/best-colleges/jones-international-university-35343,67%,N/A,2739,N/A,N/A,Jones International University,N/A
,N/A,2.2,N/A,N/A,N/A,18:1,"Langston, OK",N/A,N/A,N/A,N/A,6,N/A,"
                Unranked
            ","in-state: $6,298, out-of-state: $13,285",50.5%,N/A,/best-colleges/langston-university-3157,29%,23%,2458,N/A,N/A,Langston University,N/A
,N/A,2.2,N/A,N/A,N/A,N/A,"Marylhurst, OR",N/A,N/A,N/A,N/A,-19,N/A,"
                Unranked
            ","$19,665",N/A,N/A,/best-colleges/marylhurst-university-3199,30%,49%,,N/A,N/A,Marylhurst University,N/A
,1.4%,2.1,N/A,2%,N/A,11:1,"Boulder, CO",N/A,N/A,48.8%,N/A,-18,N/A,"
                Unranked
            ","$29,970",79.8%,59%,/best-colleges/naropa-university-21175,40%,58%,992,N/A,87.1%,Naropa University,N/A
,N/A,2.1,N/A,N/A,N/A,N/A,"La Jolla, CA",N/A,N/A,N/A,N/A,-23,N/A,"
                Unranked
            ","$11,796",N/A,N/A,/best-colleges/national-university-11460,31%,54%,,N/A,N/A,National University,N/A
,N/A,2.2,N/A,2%,16-20,15:1,"Las Vegas, NM",16%,N/A,74.1%,N/A,-18,5%,"
                Unranked
            ","in-state: $4,500, out-of-state: $7,104",100%,50%,/best-colleges/new-mexico-highlands-university-2653,19%,37%,3690,N/A,75.9%,New Mexico Highlands University,N/A
,N/A,2.5,N/A,N/A,N/A,N/A,"Juneau, AK",N/A,N/A,N/A,N/A,-36,N/A,"
                Unranked
            ","in-state: $5,693, out-of-state: $16,269",N/A,N/A,/best-colleges/university-of-alaska-1065,17%,53%,,N/A,N/A,University of Alaska—​Southeast,N/A
,N/A,1.8,N/A,N/A,N/A,N/A,"Salt Lake City, UT",N/A,N/A,N/A,N/A,-16,N/A,"
                Unranked
            ","$6,070",N/A,86%,/best-colleges/western-governors-university-33394,23%,39%,46733,N/A,N/A,Western Governors University,N/A
,N/A,1.7,N/A,0%,N/A,14:1,"Tempe, AZ",N/A,N/A,5.2%,N/A,N/A,N/A,"
                Unranked
            ","$6,000",100%,28%,/best-colleges/western-international-university-29241,2%,N/A,2040,N/A,66%,Western International University,N/A
,N/A,2.5,N/A,1%,N/A,N/A,"Silver City, NM",N/A,N/A,69.3%,N/A,-18,N/A,"
                Unranked
            ","in-state: $4,723, out-of-state: $12,763",N/A,52%,/best-colleges/western-new-mexico-university-2664,17%,35%,,N/A,67.1%,Western New Mexico University,N/A
